gateway_txn_id,order_id,merchant_id,payment_method,gateway_name,gross_amount,fee_amount,net_amount,currency,status,customer_name,payer_email,initiated_at,completed_at,settled_at,bank_settlement_ref
PG169300000353262,OD169300000353262,MERCH_DIST_001,QRIS,DANA,144000,3784,140216,IDR,SETTLED,Warung Agus,agus@yahoo.com,2023-08-10 23:00:00,2023-08-10 23:04:00,2023-08-11 19:04:00,FUEV-1TYB-EYUT-4XKO
PG169300000164120,OD169300000164120,MERCH_DIST_001,QRIS,SHOPEEPAY,463000,9579,453421,IDR,SETTLED,Toko Galang,galang@yahoo.com,2023-09-03 19:00:00,2023-09-03 19:05:00,2023-09-04 09:05:00,XNQ9-RVX3-7VK4-O63R
PG169300000154324,OD169300000154324,MERCH_DIST_001,QRIS,SHOPEEPAY,278000,9495,268505,IDR,SETTLED,Kios Nurul,kios.nurul@mail.com,2023-08-05 17:00:00,2023-08-05 17:04:00,2023-08-06 10:04:00,XTX2-8Q1L-7UAF-D7QP
PG169300000253890,OD169300000253890,MERCH_DIST_001,QRIS,OVO,158000,5089,152911,IDR,SETTLED,TB Kusuma,tb.kusuma@mail.com,2023-08-11 21:00:00,2023-08-11 21:01:00,2023-08-12 17:01:00,RXMJ-U8U9-8FI4-89EU
PG169300000383044,OD169300000383044,MERCH_DIST_001,QRIS,SHOPEEPAY,126000,4148,121852,IDR,SETTLED,TB Edi,tb.edi@email.com,2023-09-05 19:00:00,2023-09-05 19:01:00,2023-09-06 13:01:00,NKZR-UNNL-4P8T-7ZLP
PG169300000122584,OD169300000122584,MERCH_DIST_001,E_WALLET,SHOPEEPAY,392000,10233,381767,IDR,SETTLED,TB Gunawan,tb.gunawan@gmail.com,2023-09-01 14:00:00,2023-09-01 14:04:00,2023-09-02 11:04:00,1L9D-UFUQ-2IYC-B9SF
PG169300000226575,OD169300000226575,MERCH_DIST_001,QRIS,LINKAJA,293000,6303,286697,IDR,SETTLED,Agen Wahyu,agen.wahyu@gmail.com,2023-08-20 22:00:00,2023-08-20 22:03:00,2023-08-22 02:03:00,VLBR-9XYK-3K9N-DF6Q
PG169300000300334,OD169300000300334,MERCH_DIST_001,E_WALLET,DANA,1262000,20265,1241735,IDR,SETTLED,Toko Siti,siti@mail.com,2023-08-24 19:00:00,2023-08-24 19:03:00,2023-08-25 17:03:00,OXG6-SDPV-PVPS-SZ50
PG169300000141235,OD169300000141235,MERCH_DIST_001,QRIS,DANA,694000,14712,679288,IDR,SETTLED,Warung Yanto,yanto@mail.com,2023-08-07 13:00:00,2023-08-07 13:03:00,2023-08-08 21:03:00,XWFB-KBDC-MOAJ-TN46
PG169300000279840,OD169300000279840,MERCH_DIST_001,E_WALLET,OVO,422000,11755,410245,IDR,SETTLED,Toko Mega,mega@mail.com,2023-08-08 22:00:00,2023-08-08 22:02:00,2023-08-09 17:02:00,LF51-B6CQ-YV33-6C6Z
PG169300000083692,OD169300000083692,MERCH_DIST_001,E_WALLET,OVO,321000,8796,312204,IDR,SETTLED,Depot Lina,depot.lina@mail.com,2023-08-03 23:00:00,2023-08-03 23:03:00,2023-08-04 14:03:00,PA4I-378V-DDMN-K1MB
PG169300000370950,OD169300000370950,MERCH_DIST_001,E_WALLET,LINKAJA,396000,12637,383363,IDR,SETTLED,Kios Ida,kios.ida@gmail.com,2023-08-17 22:00:00,2023-08-17 22:03:00,2023-08-19 00:03:00,7KBR-35TL-5AX7-83WF
PG169300000451605,OD169300000451605,MERCH_DIST_001,E_WALLET,GOPAY,548000,13374,534626,IDR,SETTLED,UD Putra,ud.putra@email.com,2023-08-20 16:00:00,2023-08-20 16:03:00,2023-08-21 21:03:00,HVGK-3IPM-Z7A5-T8ZS
PG169300000416936,OD169300000416936,MERCH_DIST_001,QRIS,LINKAJA,414000,9088,404912,IDR,SETTLED,TB Hendra,tb.hendra@yahoo.com,2023-08-08 16:00:00,2023-08-08 16:03:00,2023-08-09 11:03:00,O571-2JTB-3JWD-P1QV
PG169300000157781,OD169300000157781,MERCH_DIST_001,E_WALLET,OVO,362000,6368,355632,IDR,SETTLED,Grosir Surya,grosir.surya@email.com,2023-08-31 13:00:00,2023-08-31 13:04:00,2023-09-02 00:04:00,3G8Y-BRHH-XBTE-75PB
PG169300000261576,OD169300000261576,MERCH_DIST_001,E_WALLET,SHOPEEPAY,416000,13726,402274,IDR,SETTLED,Agen Yanto,agen.yanto@gmail.com,2023-08-28 21:00:00,2023-08-28 21:03:00,2023-08-29 19:03:00,LG9V-4HD4-QHFE-I2PO
PG169300000368445,OD169300000368445,MERCH_DIST_001,QRIS,OVO,644000,19031,624969,IDR,SETTLED,Toko Mira,mira@gmail.com,2023-08-09 21:00:00,2023-08-09 21:03:00,2023-08-10 09:03:00,4J8X-JM2D-AEBB-JUYQ
PG169300000330456,OD169300000330456,MERCH_DIST_001,E_WALLET,GOPAY,16000,540,15460,IDR,SETTLED,PT Agus,pt.agus@mail.com,2023-08-12 13:00:00,2023-08-12 13:05:00,2023-08-13 21:05:00,DXHO-7I7Q-CY7P-698F
PG169300000501486,OD169300000501486,MERCH_DIST_001,QRIS,DANA,973000,31153,941847,IDR,SETTLED,Agen Dewi,agen.dewi@yahoo.com,2023-09-02 16:00:00,2023-09-02 16:04:00,2023-09-03 14:04:00,TP5I-79ZO-1QU6-2JEY
PG169300000557496,OD169300000557496,MERCH_DIST_001,QRIS,DANA,1536000,27921,1508079,IDR,SETTLED,Toko Eko,eko@gmail.com,2023-08-04 21:00:00,2023-08-04 21:01:00,2023-08-05 14:01:00,03WN-U1MF-C3O7-YCML
PG169300000334707,OD169300000334707,MERCH_DIST_001,QRIS,OVO,252000,7537,244463,IDR,SETTLED,Agen Fajar,agen.fajar@mail.com,2023-08-30 23:00:00,2023-08-30 23:03:00,2023-09-01 09:03:00,SUNU-1ODH-VXSP-6VMQ
PG169300000549180,OD169300000549180,MERCH_DIST_001,QRIS,SHOPEEPAY,174000,3754,170246,IDR,SETTLED,Kios Sri,kios.sri@gmail.com,2023-08-23 23:00:00,2023-08-23 23:02:00,2023-08-24 11:02:00,SUOW-S7LY-LP4Q-TMFL
PG169300000252845,OD169300000252845,MERCH_DIST_001,E_WALLET,SHOPEEPAY,401000,8685,392315,IDR,SETTLED,Kios Joko,kios.joko@mail.com,2023-09-05 16:00:00,2023-09-05 16:01:00,2023-09-06 16:01:00,Y27B-3ZRZ-8C8X-HKSH
PG169300000156178,OD169300000156178,MERCH_DIST_001,E_WALLET,DANA,16000,287,15713,IDR,SETTLED,Grosir Wawan,grosir.wawan@yahoo.com,2023-08-27 15:00:00,2023-08-27 15:04:00,2023-08-28 21:04:00,8E25-797E-MLXV-ALJF
PG169300000341271,OD169300000341271,MERCH_DIST_001,E_WALLET,OVO,1620000,33768,1586232,IDR,SETTLED,Kios Darma,kios.darma@email.com,2023-08-04 23:00:00,2023-08-04 23:01:00,2023-08-06 10:01:00,T2JS-HD11-LZLQ-1AGW
PG169300000615552,OD169300000615552,MERCH_DIST_001,E_WALLET,DANA,430000,8129,421871,IDR,SETTLED,PT Gunawan,pt.gunawan@yahoo.com,2023-08-05 17:00:00,2023-08-05 17:01:00,2023-08-06 06:01:00,8RMK-PPWH-LR5J-TQPN
PG169300000076375,OD169300000076375,MERCH_DIST_001,QRIS,DANA,216000,5291,210709,IDR,SETTLED,UD Pandu,ud.pandu@gmail.com,2023-08-20 14:00:00,2023-08-20 14:02:00,2023-08-21 13:02:00,EPPH-KPSR-558F-91HH
PG169300000219318,OD169300000219318,MERCH_DIST_001,E_WALLET,SHOPEEPAY,264000,8089,255911,IDR,SETTLED,TB Yudi,tb.yudi@mail.com,2023-08-03 13:00:00,2023-08-03 13:05:00,2023-08-04 03:05:00,JZDV-ZPON-3D47-YBW6
PG169300000204618,OD169300000204618,MERCH_DIST_001,E_WALLET,OVO,600000,11747,588253,IDR,SETTLED,Warung Oka,oka@email.com,2023-08-13 20:00:00,2023-08-13 20:05:00,2023-08-14 11:05:00,I7QZ-J64K-MVC3-URTM
PG169300000296956,OD169300000296956,MERCH_DIST_001,QRIS,LINKAJA,969000,20543,948457,IDR,SETTLED,Agen Qomar,agen.qomar@mail.com,2023-08-04 18:00:00,2023-08-04 18:05:00,2023-08-05 16:05:00,VPPI-X38G-QH89-JF6T
PG169300000416622,OD169300000416622,MERCH_DIST_001,QRIS,GOPAY,322000,5544,316456,IDR,SETTLED,Depot Susanto,depot.susanto@yahoo.com,2023-08-16 21:00:00,2023-08-16 21:05:00,2023-08-18 06:05:00,DWEY-KO74-8W3C-HKA3
PG169300000583170,OD169300000583170,MERCH_DIST_001,E_WALLET,GOPAY,240000,4268,235732,IDR,SETTLED,TB Putri,tb.putri@yahoo.com,2023-09-05 13:00:00,2023-09-05 13:04:00,2023-09-06 21:04:00,N8J9-BK5V-YS00-7XIY
PG169300000594199,OD169300000594199,MERCH_DIST_001,QRIS,LINKAJA,390000,7038,382962,IDR,SETTLED,Agen Budi,agen.budi@mail.com,2023-08-17 23:00:00,2023-08-17 23:01:00,2023-08-19 06:01:00,K9AO-JCQ2-L088-6XAL
PG169300000161568,OD169300000161568,MERCH_DIST_001,E_WALLET,GOPAY,293000,7728,285272,IDR,SETTLED,PT Pandu,pt.pandu@email.com,2023-08-17 14:00:00,2023-08-17 14:01:00,2023-08-18 16:01:00,VYES-LDNK-M4DE-VTK5
PG169300000390404,OD169300000390404,MERCH_DIST_001,E_WALLET,DANA,369000,6165,362835,IDR,SETTLED,CV Widya,cv.widya@yahoo.com,2023-08-30 21:00:00,2023-08-30 21:04:00,2023-08-31 15:04:00,D3OC-HDB3-9RTL-ANCE
PG169300000357420,OD169300000357420,MERCH_DIST_001,E_WALLET,OVO,668000,14581,653419,IDR,SETTLED,TB Lisa,tb.lisa@gmail.com,2023-08-21 12:00:00,2023-08-21 12:03:00,2023-08-22 08:03:00,AQ0A-8BFD-HD82-JU0H
PG169300000690000,OD169300000690000,MERCH_DIST_001,E_WALLET,GOPAY,866000,27420,838580,IDR,SETTLED,Toko Tina,tina@mail.com,2023-08-25 21:00:00,2023-08-25 21:03:00,2023-08-26 22:03:00,Z4CR-XRBB-0W7S-RBJZ
PG169300000697908,OD169300000697908,MERCH_DIST_001,QRIS,OVO,605000,12756,592244,IDR,SETTLED,Grosir Zainal,grosir.zainal@yahoo.com,2023-08-15 17:00:00,2023-08-15 17:01:00,2023-08-16 13:01:00,4GW4-FS76-113L-7Z6A
PG169300000671286,OD169300000671286,MERCH_DIST_001,QRIS,GOPAY,516000,8986,507014,IDR,SETTLED,Warung Tri,tri@email.com,2023-08-11 18:00:00,2023-08-11 18:04:00,2023-08-12 21:04:00,32F1-7QRN-LERB-B8M2
PG169300000644280,OD169300000644280,MERCH_DIST_001,E_WALLET,LINKAJA,629000,10255,618745,IDR,SETTLED,Agen Gita,agen.gita@yahoo.com,2023-08-01 12:00:00,2023-08-01 12:04:00,2023-08-02 15:04:00,A9ZZ-U2QU-F51H-DK67
PG169300000538148,OD169300000538148,MERCH_DIST_001,E_WALLET,GOPAY,888000,14467,873533,IDR,SETTLED,Warung Gunawan,gunawan@mail.com,2023-08-24 21:00:00,2023-08-24 21:04:00,2023-08-25 12:04:00,BC6Q-N0BT-79SI-KLWT
PG169300000239120,OD169300000239120,MERCH_DIST_001,E_WALLET,DANA,402000,10905,391095,IDR,SETTLED,CV Udin,cv.udin@mail.com,2023-08-14 12:00:00,2023-08-14 12:03:00,2023-08-15 15:03:00,B7D0-CDHB-NNOY-68HO
PG169300000493776,OD169300000493776,MERCH_DIST_001,QRIS,SHOPEEPAY,246000,5182,240818,IDR,SETTLED,Toko Gunawan,gunawan@yahoo.com,2023-09-03 17:00:00,2023-09-03 17:02:00,2023-09-04 18:02:00,VFB9-SVX2-PRXF-UJ44
PG169300000341940,OD169300000341940,MERCH_DIST_001,QRIS,SHOPEEPAY,104000,1947,102053,IDR,SETTLED,Depot Herman,depot.herman@mail.com,2023-08-09 18:00:00,2023-08-09 18:02:00,2023-08-10 18:02:00,0RM8-W91L-MT28-3LY1
PG169300000255723,OD169300000255723,MERCH_DIST_001,E_WALLET,SHOPEEPAY,748000,17058,730942,IDR,SETTLED,TB Rini,tb.rini@mail.com,2023-08-11 12:00:00,2023-08-11 12:03:00,2023-08-12 11:03:00,ZS7F-M2X4-FAMB-6U2O
PG169300000483084,OD169300000483084,MERCH_DIST_001,QRIS,SHOPEEPAY,648000,11018,636982,IDR,SETTLED,Depot Agus,depot.agus@gmail.com,2023-08-08 21:00:00,2023-08-08 21:03:00,2023-08-09 10:03:00,IRZ8-OS7S-0PE1-W3YT
PG169300000363035,OD169300000363035,MERCH_DIST_001,QRIS,OVO,124000,3086,120914,IDR,SETTLED,PT Tono,pt.tono@mail.com,2023-08-10 23:00:00,2023-08-10 23:01:00,2023-08-11 22:01:00,PF1E-J6BH-HRY2-ZNK3
PG169300000842972,OD169300000842972,MERCH_DIST_001,QRIS,SHOPEEPAY,414000,6433,407567,IDR,SETTLED,PT Joko,pt.joko@gmail.com,2023-08-29 16:00:00,2023-08-29 16:01:00,2023-08-30 14:01:00,5IN9-NZ56-WK7U-CXP7
PG169300000470061,OD169300000470061,MERCH_DIST_001,E_WALLET,SHOPEEPAY,532000,17982,514018,IDR,SETTLED,CV Ratna,cv.ratna@yahoo.com,2023-08-22 13:00:00,2023-08-22 13:03:00,2023-08-23 09:03:00,MSLN-HKFU-7YGJ-EB1L
PG169300000720544,OD169300000720544,MERCH_DIST_001,E_WALLET,LINKAJA,1228000,29049,1198951,IDR,SETTLED,Toko Yanto,yanto@mail.com,2023-08-31 16:00:00,2023-08-31 16:02:00,2023-09-01 09:02:00,9OJV-C1KP-VLB7-N9TW
PG169300000554292,OD169300000554292,MERCH_DIST_001,E_WALLET,OVO,520000,15336,504664,IDR,SETTLED,PT Ratna,pt.ratna@gmail.com,2023-08-09 16:00:00,2023-08-09 16:03:00,2023-08-10 04:03:00,UKXO-7NRB-RJMV-TXVC
PG169300000786780,OD169300000786780,MERCH_DIST_001,E_WALLET,DANA,144000,3656,140344,IDR,SETTLED,Warung Edi,edi@mail.com,2023-08-19 12:00:00,2023-08-19 12:04:00,2023-08-20 17:04:00,IDL4-Y38C-73G4-BJ0L
PG169300000521794,OD169300000521794,MERCH_DIST_001,E_WALLET,DANA,216000,5454,210546,IDR,SETTLED,Grosir Untung,grosir.untung@gmail.com,2023-08-16 12:00:00,2023-08-16 12:01:00,2023-08-17 22:01:00,GJR3-C9QU-X323-L3JK
PG169300000514924,OD169300000514924,MERCH_DIST_001,QRIS,DANA,146000,4628,141372,IDR,SETTLED,Depot Eko,depot.eko@gmail.com,2023-08-21 23:00:00,2023-08-21 23:03:00,2023-08-22 12:03:00,UPG9-PJIB-RB5K-URHL
PG169300000415059,OD169300000415059,MERCH_DIST_001,E_WALLET,LINKAJA,326000,11369,314631,IDR,SETTLED,CV Karno,cv.karno@email.com,2023-08-27 14:00:00,2023-08-27 14:01:00,2023-08-28 06:01:00,HAE3-T5UN-KGNX-E6ON
PG169300000914902,OD169300000914902,MERCH_DIST_001,QRIS,OVO,288000,7756,280244,IDR,SETTLED,Toko Wahyu,wahyu@mail.com,2023-08-10 16:00:00,2023-08-10 16:05:00,2023-08-12 01:05:00,J9C6-L1DX-EC3Y-XA16
PG169300000231610,OD169300000231610,MERCH_DIST_001,E_WALLET,GOPAY,168000,3695,164305,IDR,SETTLED,Toko Opi,opi@mail.com,2023-08-03 16:00:00,2023-08-03 16:04:00,2023-08-05 04:04:00,1GNQ-MRAS-96CL-FF37
PG169300000193632,OD169300000193632,MERCH_DIST_001,E_WALLET,OVO,456000,7608,448392,IDR,SETTLED,Agen Rini,agen.rini@gmail.com,2023-09-01 14:00:00,2023-09-01 14:01:00,2023-09-02 05:01:00,A4IH-20BD-YWJ8-36MH
PG169300000437373,OD169300000437373,MERCH_DIST_001,E_WALLET,OVO,453000,9898,443102,IDR,SETTLED,Agen Riska,agen.riska@email.com,2023-08-10 14:00:00,2023-08-10 14:04:00,2023-08-12 00:04:00,PVF9-TE2Y-XX35-N3MS
PG169300000521850,OD169300000521850,MERCH_DIST_001,E_WALLET,SHOPEEPAY,192000,3477,188523,IDR,SETTLED,Warung Putra,putra@gmail.com,2023-08-19 20:00:00,2023-08-19 20:02:00,2023-08-20 14:02:00,ZL3Z-GN65-FFN8-H3TY
PG169300000250965,OD169300000250965,MERCH_DIST_001,E_WALLET,OVO,601000,13757,587243,IDR,SETTLED,Toko Galang,galang@mail.com,2023-08-08 20:00:00,2023-08-08 20:05:00,2023-08-09 17:05:00,9A7U-JZZ5-GTZG-DFOM
PG169300000705800,OD169300000705800,MERCH_DIST_001,QRIS,OVO,267000,5444,261556,IDR,SETTLED,Agen Novi,agen.novi@yahoo.com,2023-08-01 15:00:00,2023-08-01 15:02:00,2023-08-03 02:02:00,P0JH-3EKK-YO87-WCKT
PG169300000526917,OD169300000526917,MERCH_DIST_001,QRIS,DANA,105000,1793,103207,IDR,SETTLED,Toko Zainal,zainal@yahoo.com,2023-08-02 23:00:00,2023-08-02 23:04:00,2023-08-03 16:04:00,T57N-A1YU-PQAP-AC1B
